",",Категория (такие же как во вкладке Категории),Платформа,HLTB часы,Кто добавил,Дополнительно (Если указан челлендж - при его прохождении человек получает Хорошее колесо),Кто прошел - Отзыв
Silent Hill 2 (remake),Стрелялка,PC,,Дензел,,
Wolfenstein II: The New Colossus,Стрелялка,PC,,Дензел,,
Wolfenstein: The New Order ,Стрелялка,PC,,Дензел,,
Batman: Arkham City ,Экшен,PC,,Дензел,,
Batman: Arkham Knight,Экшен,PC,,Дензел,,
God of War (2018),Экшен,PC,,Дензел,,
God of War: Ragnarök,Экшен,PC,,Дензел,,
Marvel’s Guardians of the Galaxy,Экшен,PC,,Дензел,,
Tomb Raider (2013),Экшен,PC,,Дензел,,
GTA San Andreas,Экшн,PC,,Дензел,,
Prince of Persia: The Sands of Time ,Экшн,PC,,Дензел,,
Prince of Persia: The Two Thrones,Экшн,PC,,Дензел,,
Prince of Persia: Warrior Within,Экшн,PC,,Дензел,,
The last of us,Экшн,PC,,Дензел,,
The last of us 2,Экшн,PC,,Дензел,,
Star Wars: Battlefront 2,Стрелялка,PC,,Максутка,,
Shinobido Tales of the Ninja,Джокерге,PC,,Максутка,,
Hogwarts Legacy,RPG,PC,,Максутка,,
Assassin's Creed IV: Black Flag,Action,PC,,никунка,,
Portal 2,Cozy,PC,,никунка,,
Starbound,Cozy,PC,,никунка,,
Call of Cthulhu: Dark Corners of the Earth,Адвенчура,PC,,Умар,,
Still Wakes the Deep,Адвенчура,PC,,Умар,,
The Case of the Golden Idol,Головоломки,PC,,Умар,,
The Darkside Detective,Головоломки,PC,,Умар,,
The Rise of the Golden Idol,Головоломки,PC,,Умар,мб первую только,
Pathologic,Джокерге,PC,,Умар, не не умар он уже у меня в личном. не лезь в это болото бро ВСМ?? я не нашел его в списке и хочу потрогать,
Balatro,Рогалик,PC,,Умар,Пройти на всех сложностях на 4 деках или ОСОБЫЙ бонус пройти на всех сложностях на черной деке :),
Synthetik,Рогалик,PC,,Умар,Пройти на 1 классе из каждой группы (максимальная сложность),
Блицкриг 2,Джокерге,PC,,Умар,,
C&C: Generals,Стратежка,PC,,Умар,,
C&C: Red Alert 2: Yuri's Revenge,Стратежка,PC,,Умар,А можно один только CC - схуяли геннадий николаевич??,
C&C: Tiberian Sun,Стратежка,PC,,Умар,,
Heroes of Might & Magic III,Стратежка,PC,,Умар,Тут надо будет обсудить какую кампанию и на какой сложности,
Jagged Alliance,Джокерге,PC,,Умар,,
Men Of War (В Тылу Врага),Стратежка,PC,,Умар,,
Starcraft 2,Стратежка,PC,,Умар,,
Starcraft: Brood War,Джокерге,PC,,Умар,,
Дорога На Рейхстаг,Джокерге,PC,,Умар,,
Afraid Of Monsters,Стрелялка,PC,,Умар,,
Aliens vs. Predator (1999),Джокерге,PC,,Умар,,
Aliens vs. Predator 2,Стрелялка,PC,,Умар,,
BloodRayne: Terminal Cut,Стрелялка,PC,,Умар,,
Call Of Duty: Ghosts,Стрелялка,PC,,Умар,,
Clive Barker’s Jericho,Стрелялка,PC,,Умар,,
Cold Fear,Стрелялка,PC,,Умар,,
Condemned: Criminal Origins,Стрелялка,PC,,Умар,,
E.Y.E.: Divine Cybermancy,Стрелялка,PC,,Умар,,
Filcher,Стрелялка,PC,,Умар,,
Gloomwood,Стрелялка,PC,,Умар,,
Hitman 2: Silent Assassin,Стрелялка,PC,,Умар,,
Hitman: Codename 47,Стрелялка,PC,,Умар,,
Hitman: Contracts,Стрелялка,PC,,Умар,,
Hotline Miami 2,Стрелялка,PC,,Умар,,
Intravenous,Джокерге,PC,,Умар,,
Prey (2017),Стрелялка,PC,,Умар,,
Psycho Patrol R,Джокерге,PC,,Умар,,
Shadow Warrior 2,Стрелялка,PC,,Умар,,
SWAT 4,Стрелялка,PC,,Умар,,
System Shock 2,Джокерге,PC,,Умар,примечание: есть ремастер,
The Suffering,Стрелялка,PC,,Умар,,
The Thing (2002),Стрелялка,PC,,Умар,,
The Wrath of Malach,Стрелялка,PC,,Умар,,
Thief II: The Metal Age,Джокерге,PC,,Умар,,
Thief: The Dark Project,Джокерге,PC,,Умар,,
TimeShift,Стрелялка,PC,,Умар,,
Tom Clancy’s Splinter Cell: Chaos Theory,Стрелялка,PC,,Умар,,
You Are EMPTY,Стрелялка,PC,,Умар,,
bully scholarship edition,Cozy,,,Умар,,
Vampire: The Masquerade Bloodlines ,RPG,PC,,Умар,,
Crypt of the NecroDancer,Джокерге,PC,,Яковка,,
Morrowind,Джокерге,PC,,Яковка,,
Aragami,Кооп,PC,,Яковка,,
Borderlands 2,Кооп,PC,,Яковка,,
Escape Simulator,Кооп,,,Яковка,,
Grim Dawn,Кооп,PC,,Яковка,,
Sea of Stars,Кооп,PC,,Яковка,,
Super Bunny Man ,Кооп,,,Яковка,,
We were here,Кооп,PC,,Яковка,,
Blue Prince,Джокерге,PC,,Яковка,,
Catherine: Full Body,Паззл,,,Яковка,,
Ghost Trick ,Паззл,PC,,Яковка,,
Professor Layton Curious Village,Паззл,DS (Emulator),,Яковка,,
Signalis,Паззл,PC,,Яковка,,
Blazblue Entropy Effect,Рогалик,PC,,Яковка,,
Clover Pit,Рогалик,PC,,Яковка,Для победы -  Любая концовка,
FTL: Faster Than Light,Рогалик,PC,,Яковка,,
Hades,Рогалик,PC,,Яковка,убить Аида,
Enter the Gungeon,"Рогалик, Стрелялка",PC,,Яковка,,
Game dev tycoon,Симулятор,PC,,Яковка,,
NIGHT-RUNNERS Prologue,Симулятор,,,Яковка,,
Bomb Rush Cyberfunk,Симуляторы,PC,,Яковка,,
XCOM 2,Джокерге,PC,,Яковка,Челлендж - Лонгвар,
Furi,Стрелялка,PC,,Яковка,S,
Metro 2033,Стрелялка,PC,,Яковка,,
AI: The Somnium Files,Читать,PC,,Яковка,,
Disco Elysium,Читать,PC,,Яковка,,
Dispatch,Читать,PC,,Яковка,Для победы -  Любая концовка,
PARANORMASIGHT: The Seven Mysteries of Honjo,Читать,,,Яковка,Челлендж -Пройти на тру концовку,
The Great Ace Attorney Chronicles,Читать,PC,,Яковка,"Для победы - Только первая игра, Челлендж - Вторую игру можно пройти с удвоением часов",
The Life and Suffering of Sir Brante,Читать,,,Яковка,,
To the moon,Читать,PC,,Яковка,,
Urban Myth Dissolution Center,Читать,PC,,Яковка,,
VA-11 Hall-A: Cyberpunk Bartender Action,Читать,PC,,Яковка,,
Chef RPG,Cozy,PC,,Яковка,,
Fahrenheit Indigo,Cozy,PC,,Яковка,,
Little Nightmares,Cozy,PC,,Яковка,,
"No, I'm not a Human",Cozy,PC,,Яковка,,
Ori and the Will of the Wisps,Cozy,PC,,Яковка,,
